Molecule 3VI3 :
Nb of atoms : 58633
Nb of clusters : 131
Total percentage : 100.0000%
| Cluster ID | Nb of atoms | Center of mass | Percentage |
| Cluster 0095 | 0004 | (+0004.87 -0021.33 -0045.91) | 000.0068% |
| Cluster 0096 | 0067 | (+0009.72 +0044.71 +0020.08) | 000.1143% |
| Cluster 0097 | 0010 | (+0006.50 +0040.70 +0020.09) | 000.0171% |
| Cluster 0098 | 0125 | (-0006.01 +0008.46 +0029.09) | 000.2132% |
| Cluster 0099 | 0017 | (+0005.11 +0012.01 +0034.33) | 000.0290% |
| Cluster 0100 | 0002 | (+0024.11 -0022.71 -0013.38) | 000.0034% |
| Cluster 0101 | 0019 | (-0005.18 -0006.84 +0030.75) | 000.0324% |
| Cluster 0102 | 0034 | (-0022.84 -0000.96 +0023.02) | 000.0580% |
| Cluster 0103 | 0002 | (+0012.06 +0015.60 +0010.18) | 000.0034% |
| Cluster 0104 | 0003 | (+0034.80 +0038.36 +0006.27) | 000.0051% |
| Cluster 0105 | 0011 | (-0022.56 -0013.73 -0015.15) | 000.0188% |
| Cluster 0106 | 0017 | (-0021.37 -0033.09 -0015.11) | 000.0290% |
| Cluster 0107 | 0002 | (-0007.90 -0038.24 -0012.52) | 000.0034% |
| Cluster 0108 | 0360 | (-0006.53 +0029.13 +0005.12) | 000.6140% |
| Cluster 0109 | 0138 | (-0020.57 +0019.78 +0000.56) | 000.2354% |
| Cluster 0110 | 0184 | (-0013.35 +0013.91 +0010.25) | 000.3138% |
| Cluster 0111 | 0019 | (-0007.38 +0017.50 +0013.25) | 000.0324% |
| Cluster 0112 | 0008 | (+0034.30 +0030.22 -0018.28) | 000.0136% |
| Cluster 0113 | 0277 | (-0028.23 -0010.23 +0005.18) | 000.4724% |
| Cluster 0114 | 0055 | (-0030.69 -0015.73 +0011.42) | 000.0938% |
| Cluster 0115 | 0073 | (-0025.86 -0033.63 +0007.80) | 000.1245% |
| Cluster 0116 | 0047 | (-0017.60 -0030.94 +0002.55) | 000.0802% |
| Cluster 0117 | 0011 | (-0024.04 -0024.64 +0014.81) | 000.0188% |
| Cluster 0118 | 0025 | (-0013.58 +0006.34 +0018.77) | 000.0426% |
| Cluster 0119 | 0007 | (-0007.47 +0029.68 +0004.12) | 000.0119% |
| Cluster 0120 | 0010 | (+0013.81 -0016.30 -0000.17) | 000.0171% |
| Cluster 0121 | 0007 | (+0018.05 -0006.53 +0014.40) | 000.0119% |
| Cluster 0122 | 0003 | (-0025.63 -0031.84 +0001.40) | 000.0051% |
| Cluster 0123 | 0003 | (-0029.94 +0000.59 -0003.14) | 000.0051% |
| Cluster 0124 | 0014 | (+0015.49 -0003.84 -0033.19) | 000.0239% |
| Cluster 0125 | 0002 | (+0006.34 -0011.59 +0023.50) | 000.0034% |
| Cluster 0126 | 0002 | (+0001.72 +0022.99 +0005.37) | 000.0034% |
| Cluster 0127 | 0009 | (-0030.48 -0010.58 +0021.18) | 000.0153% |
| Cluster 0128 | 0004 | (+0028.66 +0046.57 -0027.07) | 000.0068% |
| Cluster 0129 | 0009 | (+0041.17 +0024.50 -0009.42) | 000.0153% |
| Cluster 0130 | 0003 | (+0041.49 +0005.12 -0020.60) | 000.0051% |
